airline_sentiment,text
0,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse"
1,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp
1,@VirginAmerica Thanks!
1,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo
1,@VirginAmerica I love the hipster innovation. You are a feel good brand.
2,@VirginAmerica will you be making BOS&gt
2,@VirginAmerica do you miss me? Don't worry we'll be together very soon.
0,"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢"
2,@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?
0,"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :("
1,@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews
2,Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP
1,@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday
0,@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk
1,"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr"
2,@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt
2,@VirginAmerica @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree
2,"@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks."
2,@VirginAmerica Will flights be leaving Dallas for LA on February 24th?
1,@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! 😊
2,@VirginAmerica @ladygaga @carrieunderwood - Carrie!
2,@VirginAmerica New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?
1,@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!
2,@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.
2,@virginamerica Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?
1,"@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this."
1,@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?
2,"@VirginAmerica Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF"
0,@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you.
0,@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness
2,@VirginAmerica Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4
2,@VirginAmerica I &lt
2,"@VirginAmerica ""You down with RNP?"" ""Yeah you know me!"""
2,"@VirginAmerica hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?"
0,@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .
0,"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin"
2,@VirginAmerica why is flight 345 redirected?
