airline_sentiment,text
2,what said
1,plus youve added commercials to the experience tacky
2,i didnt today must mean i need to take another trip
0,and its a really big bad thing about it
0,"seriously would pay  a flight for seats that didnt have this playing
its really the only bad thing about flying va"
1,yes nearly every time i fly vx this ear worm wont go away 
2,really missed a prime opportunity for men without hats parody there 
1,well i didntbut now i do d
1,it was amazing and arrived an hour early youre too good to me
2,did you know that suicide is the second leading cause of death among teens 
1,i lt
1,im flying your skies again u take all the away from travel 
0,sfopdx schedule is still mia
0, i flew from nyc to sfo last week and couldnt fully sit in my seat due to two large gentleman on either side of me help
1,i  flying  
1,you know what would be amazingly awesome bosfll please i want to fly with only you
0,why are your first fares in may over three times more than other carriers when all seats are available to select
1,i love this graphic 
0,you guys messed up my seating i reserved seating with my friends and you guys gave my seat away   i want free internet
0,status match program  i applied and its been three weeks  called and emailed with no response
0,what happened  ur vegan food options at least say on ur site so i know i wont be able  eat anything for next  hrs 
0,amazing to me that we cant get any cold air from the vents 
2,lax to ewr  middle seat on a red eye such a noob maneuver 
0,help left expensive headphones on flight  iad to lax today seat a no one answering lampf number at lax
1,done and done best airline around hands down
2,when can i book my flight to hawaii
0,hey first time flyer next week  excited but im having a hard time getting my flights added to my elevate account help
2,i have an unused ticket but moved to a new city where you dont fly how can i fly with you before it expires 
2,are flights leaving dallas for seattle on time feb 
1,im for a good reason you rock
2, dream  
1,wow this just blew my mind
2,all were entertaining
1,julie andrews all the way though was very impressive no to 
2,wish you flew out of atlanta soon
2,julie andrews hands down
0,hi im so excited about your  lgagt
1,you know it need it on my spotify stat 
2,julie andrews first but lady gaga wowd me last night carrie meh
0,i called a  weeks ago about adding  flights from  to my elevatethey still havent shown uphelp
2,all are great  but i have to go with 
2,sorry mary martin had it first
0,heyyyy guyyyys been trying to get through for an hour can someone call me please 
0,hi virgin im on hold for  minutes  are there any earlier flights from la to nyc tonight earlier than pm
1,congrats on winning the award for best deals from an airline us 
0,everything was fine until you lost my bag
2,i emailed your customer service team let me know if you need the tracking number
2,hi i just booked a flight but need to add baggage how can i do this
0,your airline is awesome but your lax loft needs to step up its game  for dirty tables and floors 
2,first time flying you all do you have a different ratepolicy for media bags thanks
2,what happened to doom
0,why cant you supp the biz traveler like  and have customer service like 
1,ive applied more then once to be a member of the crew teamim  interested g
0,youre the best whenever i begrudgingly use any other airline im delayed and late flight 
0,it was a disappointing experience which will be shared with every business traveler i meet 
0,im having trouble adding this flight my wife booked to my elevate account help 
2,cant bring up my reservation online using flight booking problems code
0,why is the site down  when will it be back up
0,what is your phone number i cant find who to call about a flight reservation
0,is anyone doing anything there today  website is useless and no one is answering the phone
2,trying to add my boy prince to my ressie sf this thursday from lax 
2,check out new music 
0,your no late flight bag check just lost you my business i missed flight and am apt three other people on flight had same exp
0,called your service line and was hung up on this is awesome 
0,your site is tripping im trying to check in and im getting the plain text version i am reluctant to enter any card info
2,i was scheduled for sfo  dal flight  today changed to th due weather looks like flight still on
1,has getaway deals through may from  oneway lots of cool cities  
2,has getaway deals through may from  oneway lots of cool cities  
2,has getaway deals through may from  oneway lots of cool cities  
1,have a great week 
0,should i be concerned that i am about to fly on a plane that needs to be delayed due to a tech stop
1,is the best airline i have flown oneasy to change your reservationhelpful representatives amp a comfortable flying experience
1,and again another rep kicked butt naelah represents your team so beautifully thank you
1,love the team running gate e at las tonight waited for a delayed flight and they kept things entertaining
0,use another browser  amp
0,and now the flight flight booking problems site is totally down folks what is the problem
0,i like the customer service but a  min delay just for connecting passengers seems too long va
1,thanks to your outstanding nycjfk crew who moved mountains to get me home to san francisco tonight
1,you have the absolute best team and customer service ever  every time i fly with you im delighted  thank you
0,i need to change my flight thats scheduled in  hours and  min wait time on phone im calling intern help
2,how can i watch the on my jfkgt
0,your assistance yesterday when u cancelled flightled our flight was to give us a hotel hotline  shame on you
0,another delayed flight 
1,you rock for making it so i can watch on my flight 
2, dropped a track on you 
1,always xoxo
0,why cant we book seats on your flights when we buy them or even during check in creates so much anxiety 
0,youd think paying an extra  bucks rt for luggage might afford you hiring an extra hand at 
1,best customer service rep in the world takes the cake
1,you have amazing staff amp
0,i paid the premium to fly you across the country you cancelled flight my flight and offer no check fee or upgrade love sad face 
0,question is it not possible to book a seat for an infant under  its not giving me the option but we want a seat for him
1,home to in back to  
0,does that mean you dont have a policy for destroyed luggage
2,is there special assistance if i travel alone w kids and  infant priority boarding
1,thank you for checking in tickets are purchased and customer is happy 
2,  is flight  from love field to sfo definitely cancelled flightled for monday february 
0,having problems flight booking problems on the web site keeps giving me an error and to contact by phone  phone is  minute wait
0,how do i reschedule my cancelled flightled flights online the change button is greyed out
0,i rang but there is a wait for  minutes i can book the same ticket through a vendor fix your site
0,our flight into lga was cancelled flighted were stuck in dallas i called to reschedule told i could get a flight for today
0,why dont any of the pairings include red wine only white is offered  
0,is the website down
0, your site seems a little wonked right now may want to have a look tried on two browsers no css 
0,is it normal to receive no reply from central baggage 
0,at logan airport and waiting to checkin for my am flight checkin desk not open  why
2,to begin dallasaustin in april   ketr 
0,congrats you just got all my business from ewr to sfolax fuck you fl sfoewr was the clincher
0, i applied over  weeks ago havent heard back and im flying this week 
2,id love to know what your policy is for damaged luggage
0, too many apologies you r the worse airlines dont even respond to your cudtomers
0,shame on va for making people spend money in stranded cities when other airlines are landing at jfk who will reimburse me
0,too bad you say it takes  to  days via your confirmation email when i inquired after  weeks you claim  to  weeks
2,having an issue finding a missing item on a plane can you help me find which airport my plane headed to next
1,you will match my status cool
0,trying to book a flight with you guys and your website wont let me about to lose my business
0,you suck
1,thanks
0,trying to book a flight amp
1,i love your guys song were dancing to it for our high school dance revue
0,your website is down and im trying to check in
1,done thank you for the quick response apparently faster than sitting on hold 
2,nervous about my flight from dc to lax getting cancelled flightled tomorrow just sent you a dm to help me
1,cool picture of another virginamerica plane off our wing what a site 
1,keep up the great work 
1,thanks for a great flight from la to boston pilots did a great job landing in the snow can we go back to la now 
1,thanks so much for the awesome support you guys rock
0,seats in row  dont recline should mention that on your website 
0,flight  delayed  hours in la due to mechanical problems handle like pros but you could have tossed us a free drink
1,twitter team you guys killed it for rescheduling me asap thank you
0,you guys charged me  to reschedule a flight that was then cancelled flighted and are now refusing to refund it whats the deal
0,cant access your website from safari on iphone  seems to work on mac and ipad need iphone to add passbook
0,i was really looking forward to my flight can you let me know when it will be rescheduled 
0,why cancelled flight flight vx one sec its delayed on my to airport the next its cancelled flightledgonna email or call me to reschedule
0,i did it but there was a problem in the link from the email for checkin thanks
0,had to change to another airline to get to dc today  why is able to land in dc but not you cost me  ugh
1,when are you putting some great deals from pdx to las or from las to pdx show me your love 
1,wish i can afford to fly with you next friday  going back home love everything  about your airline
0, how are you gonna have a deal from dallas to dc but no deal from dc to dallas 
2,its just a bug report guys
1,like 
0,site down 
1,you have the best flight attendant ever 
1,awesome rt  watch nominated films at  feet 
1,thanks so much
0,trying to reset my password email never arrives help
0,what is the reason  for the delay of the departure of vx  from jfk this afternoon
0,is todays flight from palm springs ca to jfk in ny cancelled flightled
1,hahaha you guys are amazing i love you guys
1,sounds like fun 
2,any updates on flight  from jfk gt
2,spruce moose
0,the css on your site is a  right now please fix site unusable
0,were on flight  vegas to boston today checked in online but our bag count didnt register can i fix that somehow
1,classiq luv virgin america greetingz
0,hi im trying to do checkin but the website is not working i tried  different browsers and the problem continues
1,thanks for your great customer service today amp
1,thanks guys sweet route over the rockies 
1,love the s music blasting at gate in while waiting for flight to  only if i could get an iced coffee
0,current bug on website shows select departure city when selecting destination city 
0,luggage was severely dentedmissing wheel coming off baggage claim in san luggage agent miranda i think wasnt any help
1,thank you for the easy itinerary shift for impending weather quick painless amp free
2,if youd love to see more girls be inspired to become pilots rt our free woaw event march  at abq 
1,thanks good times there and back the entire flight
2,any plans to start flying direct from dal to las
2,big lovegratitudempower w  werin vipswagbags 
1, youre doing a great job adding little luxuriesaesthetics that improve the air travel experience thank you keep it up
2,grand budapest hotel 
2,this is what you missed  next trip to the 
0,i paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience
0,there is something wrong with you website in safari iphone
0,already checked in so the page expired x
0,boo for a not refunding a seat upgrade fee i did not want to buy in the first place
2,shares rise on q financial results  usa today 
2,adds pillows instead of lieflat seats in first class arms race 
1,i see what you did there 
2,way to take advantage of 
2,you know im flying virgin for the fight 
1,your inflight team makes the experience 
0,moved my seat with no notice better seat is cabin select not behind the row i selected 
2,shares up on q results  
1,fav airline
1,we have a hot female pilot sweet dca to sfo 
2, when are you guys going to start flying to paris  youre welcome
2,what is your policy on flying after surgery  i am still waiting for answer so i can tell me doctor
0,already contacted central baggage amp
1,thank you
0,is there anything going on with the website ive been getting a lot of errors past  minutes
2,i think i left something on the plane yesterday who do i callah
2,i need you to follow back in order to dm
2,they told to check with the airline regulation first so that is why i contacted you
0,i have just checked in flight to sfo from lax amp
0,husband and i ordered three drinks via my screen and they never came awesome
0,soooo are you guys going to leave the seatbelt light on all flight you can barely call this turbulence 
2,what is your policy on flying after surgery
2,posts second consecutive fullyear net profit  
0,funny story your website is broken you have missing javascript and stylesheets on the checkin process i dislike this
1,would love to do more for virgin just like i do for 
2,i applied for a position in and i was wondering if you guys received my application
2,gives positive outlook but sees increased competition  
0,im trying to check into my am ct flight tmm on the desktop website and its not working some sort of caching bug sos
2,weather delays gt
0,do you guys know your checkin links from emails are broken 
2,pilot says we expect a choppy landing in nyc due to some gusty winds wa temperature of about  degrees amp
1,hi just wanted to see if you have any new routes planned this year for newark love flying you guys and hope to do so more
1,i mean probably inappropriate while on board but its on
2,is saving my sanity right now 
2,missed my flight how does standby work
1,they were very understanding and helped me out  thx 
2,brought it all the way across the country today i see 
1,thank you i absolutely will 
0,the manage itinerary section of your website seems to be broken for me 
2,may start service to hawaii from this year  
0,other carriers are less than half price for a round trip fare i am stunned 
0,wtf is happening in pdx late flight march such that one way from sfo is 
2,add dtw and im sold
1,how about some free drinks on the flight back for the free promo
1,thanks
2,momma i made it 
2,please contact me about portfolio left on flight vx  from jfk to sfo tonite seat am need it returned call 
0,my luggage is gone ive filed my paperwork promised a callemail still no resolution or response from central luggage
2,debbie baldwin gave a performance of the safety demo this evening on vx 
1,thanks
1,thanks for taking care of on her flight 
1,thanks for the lovely soft views to 
0,just trying to book tickets to nyc and facing super fun broken styling dont worry ill keep trying 
2,nice lofty view  
0,applied for status match on feb  got confirmation email same day still no news though you guys have dropped ball late flightly 
2,"
can you help in need of some help in 
 "
1,i was so glad it was mentioned i took my first virgin flight a few years back and it was a transformative experience
2,flight booking problems flight to uphold my status match  do taxes on ticket count as earned status points  
0,trying to checkinbut looks like your site is down
0,spending my birthday night with you daldca get me home
0,sent a couple messages to the email you provided but to no avail will try again next year cheers
1,first time flying virgin went to thanks for the smooth ride easily my new fav airline
0,seriously though will there not be direct flights from sfofll in may
0,its fine already done with my purchase but you should try it just go most of the way through then go back 
0,not really the experience i was hoping  i ws forced  check in a small carry on w nothing but empty cabin space on board
0,"
wjere is our luggage slow at lax"
2,to jump into the market 
0,i spoke with a representative that offered no solution i am a loyal customer who flies on as well
0,what happened to direct flights from sfofll looking in may only see connecting 
2, can you help left my blazer in kooples jacket bag at rd row second seat from right gate  t lax flight to sfo
2,partners with checkout as mobile payment method to help boost mobile conversion rates 
1,just promoting the product is all had a problem with southwest and recommend noneother than the best 
1,love you guys but pls get some direct routes las to aus
2,i would like help with some flights please
2,bruh  turn down for what 
2,digging the swanky pink mood lighting during the flight from nyc to sfo  just needs a cabaret singer  think about it
0,on vx from jfk to la  dirty plane  not up to your standards
0,your avis rental continue button doesnt work on your website to book car tried  times on phone  this sucks
0,delayed to
0,currently in minute  of being on hold with cust service do i need to do anything to add a lap child to my reservation
2,"adds pillows instead of lieflat seats in first class arms race 
 by "
1, of course have fun celebrating thanks happy chinese new year
0,comenity bank is a joke  please change  nothing but constant problems with this bank
2,i just did how can i dm do u have to also add me
1,just bought tix for atx  dallas route  thanks for adding that love yr airline amp
2,anytime sugafly
1,gave a credit for my late flight flight yesterday great service  thats a wow moment unexpected gesture
